id,bid_month,system_time,real_lowest_price_time,real_lowest_price,real_lowest_price_from,real_lowest_price_to,bid_date,alert_price,avg_price,bid_people_num,bid_percent,license_num,lowest_price,lowest_price_time,lowest_price_time_order
7310,201612,10:30:00,00:00:00,86800,86500,87100,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7311,201612,11:26:25,11:26:24,86900,86600,87200,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7312,201612,11:26:54,11:26:41,87000,86700,87300,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7313,201612,11:27:16,11:27:12,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7314,201612,11:28:00,11:24:53,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7315,201612,11:28:01,11:24:48,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7316,201612,11:28:02,11:24:41,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7317,201612,11:28:03,11:24:36,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7318,201612,11:28:04,11:24:33,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7319,201612,11:28:05,11:24:28,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7320,201612,11:28:06,11:24:18,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7321,201612,11:28:07,11:24:07,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7322,201612,11:28:08,11:23:51,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7323,201612,11:28:09,11:23:30,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7324,201612,11:28:10,11:23:09,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7325,201612,11:28:11,11:22:46,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7326,201612,11:28:12,11:22:28,87100,86800,87400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
